year,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,Denmark,"Europe, Eurozone",Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Portugal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,Venezuela
1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2195,
1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2239,
1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2218,
1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2106,
1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2209,
1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2333,
1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2254,
1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2279,
1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2420,
1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2199,
1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2283,
1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2230,
1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2202,
1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2197,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2300,
1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2256,
1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2260,
1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2162,
1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2186,
1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2326,
1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2620,
1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2765,
1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2667,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2358,
1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2039,
1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1914,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2173,
1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2222,
1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2216,
1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2211,
1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2074,
1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2009,
1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2083,
1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2055,
1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2070,
1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2033,
1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2026,
1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2029,
1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2057,
1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2100,
1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2058,
1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2058,
1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2089,
1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2156,
1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2062,
1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2076,
1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1961,
1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2047,
1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2006,
1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2000,
1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2004,
1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2085,
1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2089,
1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2058,
1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2053,
1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2076,
1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2086,
1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2054,
1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2077,
1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2053,
1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2035,
1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2040,
1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9000,,,,,,0.2046,
1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9000,,,,,,0.2048,
1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2047,
1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2037,
1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2045,
1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.2058,
1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2041,
1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9000,,,,,,0.2062,
1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2095,
1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1799,
1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1413,
1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1003,
1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1300,
1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1454,
1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1481,
1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1465,
1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1542,
1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1790,
1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9000,,,,,,0.1832,
1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1837,
1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1803,
1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1845,
1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1789,
1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1844,
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.1970,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.2045,
1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.2060,
1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.2064,
1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.2070,
1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3000,,,,,,0.2053,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3000,,,,,,0.2062,
1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.2060,
1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3000,,,,,,0.2059,
1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3000,,,,,,0.2057,
1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.2061,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3000,,,,,,0.2053,
1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4000,,,,,,0.2054,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4000,,,,,,0.2057,
1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5000,,,,,,0.2057,
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0000,,,,,,0.2052,
1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2000,,,,,,0.2056,
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2000,,,,,,0.2050,
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0000,,,,,,0.2046,
1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3000,,,,,,0.2053,
1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7000,,,,,,0.2056,
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1000,,,,,,0.2063,
1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5000,,,,,,0.2056,
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7000,,,,,,0.2056,
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2000,,,,,,0.2052,
1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0000,,,,,,0.2053,
1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0000,,,,,,0.2056,
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1000,,,,,,0.2054,
1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8000,,,,,,0.2056,
1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9000,,,,,,0.2061,
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8000,,,,,,0.2058,
1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8000,,,,,,0.2055,
1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6000,,,,,,0.2052,
1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6000,,,,,,0.2056,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6000,,,,,,0.2057,
1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6000,,,,,,0.2055,
1913,,,4.9555,5.2154,,1.0000,,,,3.7377,,,5.1840,4.2030,,,,,,,5.2640,,,,,2.4925,,,,,,,,5.6000,,,5.1990,,,0.2054,
1914,,,5.0843,5.1780,,0.9990,,,,3.7558,,,5.0950,4.2300,,,,,,,5.1950,,,,,2.4622,,,,,,,,5.4000,,,5.1330,,,0.2028,
1915,,,6.5047,,,1.0040,,,,3.8765,,,5.5690,4.8470,5.2394,,,,,,6.0500,,,,,2.4696,,3.8641,,,,,,5.2654,,3.8619,5.3274,,,0.2102,
1916,0.9666,,7.9527,,4.2100,1.0020,,,,3.5315,,,5.8870,5.4950,5.1204,1.9530,,,,,6.5500,1.97,,,,2.3915,,3.4931,,,1.4596,,,5.0032,,3.4555,5.2202,,,0.2098,
1917,0.9986,,8.8977,,3.9957,1.0020,3.5660,,,3.3294,,,5.7640,5.7730,5.0547,1.5604,,,,,7.5090,1.95,,,,2.3826,,3.2714,,,1.5067,,,4.4229,,3.0576,4.7687,,,0.2099,
1918,0.9985,,,,3.9505,,3.3786,,,3.3065,,,5.6160,7.8620,5.1495,1.2733,,,,,7.8620,1.89,,,,2.1256,,3.2423,,,1.5744,,,4.0587,,3.0272,4.3793,,,0.2099,
1919,1.0099,,,7.8327,3.7404,1.0460,4.4336,,,4.2946,,,7.3090,32.8520,,,,,,,8.7960,1.95,,,,2.5545,,4.0690,,,,,,5.0446,,3.9151,5.2679,,,0.2259,
1920,1.1025,,,13.5501,4.4419,1.1200,5.4189,,,6.3391,,,14.2050,57.1100,,,,,,,20.1210,1.99,,,,2.9054,,6.0496,,,,,,6.2743,,4.8795,5.9161,,,0.2729,
1921,1.3698,,994.0360,13.4302,7.6220,1.1170,8.3269,,,5.6192,,60.3865,13.4130,83.0220,19.8961,1.9126,,,,,23.2900,2.07,,2.2810,2.058,2.9720,,6.7084,,,10.0231,,,7.3901,,4.3609,5.7624,,,0.2598,
1922,1.2223,,10309.3000,13.0159,7.7228,1.0150,8.1831,1.7975,,4.7740,,46.2235,12.1930,430.4780,30.2489,1.7949,3.48,,,,21.0270,2.09,,1.9695,2.053,2.5976,,5.7138,,,14.9925,,,6.4588,,3.8217,5.2452,,,0.2258,
1923,1.2727,,71428.6000,19.1608,9.7766,1.0200,8.1684,1.9003,,5.4454,,37.2703,16.4440,50000.0000,58.3397,1.8904,3.21,,,,21.7320,2.06,,1.8692,2.060,2.5575,,5.9984,,,23.5145,,,6.9190,,3.7658,5.5371,,,0.2186,
1924,1.2799,,71428.6000,21.5341,9.1405,1.0130,9.4833,1.8976,,5.9799,,39.8788,19.0960,433000000000.0000,55.8659,1.9059,3.15,,,,22.9460,2.43,,1.9511,2.061,2.6170,,7.1734,,,29.5421,,,7.4977,,3.7704,5.4876,,,0.2264,
1925,1.0943,,7.1177,21.0172,8.1993,1.0000,8.6184,1.7573,,4.7324,,39.6542,20.9770,4.2010,64.0451,1.7693,2.76,,,,25.1410,2.44,,1.7808,2.025,2.4900,,5.5917,,,19.8425,,,6.9714,,3.7247,5.1742,,,0.2071,
1926,1.0852,,7.1053,30.6251,6.9273,1.0000,8.2805,2.0008,1.0157,3.8131,,39.6684,30.8380,4.2020,79.4976,1.8752,2.75,,,,25.7110,2.12,,1.7771,2.070,2.4939,,4.4773,,,19.5107,,,6.7133,,3.7363,5.1779,,,0.2058,
1927,1.0385,,7.1041,7.1861,8.4472,1.0000,8.2883,2.2758,1.0237,3.7418,,39.6873,25.4840,4.2080,75.9128,2.0322,2.75,,,,19.3950,2.11,,1.7842,2.118,2.4934,,3.8391,,,19.8847,,,5.8619,,3.7293,5.1916,,,0.2057,
1928,1.0365,0.2070,7.1052,7.1797,8.3516,1.0010,8.2338,2.1674,1.0236,3.7393,,39.7251,25.5040,4.1910,76.6636,1.9971,2.74,,,,19.0220,2.15,,1.7767,2.079,2.4861,0.2064,3.7471,,,22.3839,,0.2065,6.0262,,3.7313,5.1922,,,0.2055,
1929,1.0512,0.2080,7.1136,7.1878,8.4694,1.0080,8.2918,2.3866,1.0357,3.7481,,39.7456,25.5360,4.2000,77.3156,2.1201,2.76,,,,19.1080,2.17,,1.7853,2.075,2.4899,0.2069,3.7477,,,22.3644,,0.2069,6.8105,,3.7336,5.1869,,,0.2059,
1930,1.1975,0.2180,7.0977,7.1672,9.3339,1.0020,8.2792,3.3426,1.0363,3.7362,,39.7314,25.4780,4.1920,77.1665,2.9539,2.77,,,,19.0930,2.02,,1.7869,2.122,2.4860,0.2136,3.7370,,,22.2519,,0.2067,8.5712,,3.7238,5.1594,,,0.2057,
1931,1.4984,0.2840,7.1313,7.1795,14.2268,1.0380,8.2871,4.4569,1.0355,3.9907,,41.8848,25.5100,4.2320,77.3635,4.1101,2.97,,,,19.2070,2.05,,1.9068,2.099,2.4857,0.2408,3.9913,,,23.5655,,0.2080,10.4764,,3.9598,5.1544,,,0.2205,
1932,1.7111,0.3570,7.1634,7.1872,14.0404,1.1350,12.6456,4.6007,1.0496,5.3102,,64.3211,25.4610,4.2110,120.1920,4.2625,3.80,,,,19.5110,3.56,,2.4754,3.140,2.4817,0.3123,5.5544,,,31.2891,,0.2098,12.4319,,5.4139,5.1533,,,0.2852,
1933,1.3708,0.2970,6.4734,5.5867,12.5581,1.0870,13.0230,3.4968,1.2240,5.2436,,53.4531,19.8760,3.2770,138.2550,3.3954,3.14,,,,14.9040,3.90,,2.0312,3.558,1.9334,0.2941,4.6665,,,25.5330,,0.2410,9.3293,,4.5388,4.0265,,,0.2360,
1934,2.9780,0.2490,5.3211,4.2943,11.8669,0.9900,9.8569,2.9331,1.6186,4.4445,,44.8893,15.2230,2.5400,106.3600,2.5829,2.64,,,,11.6800,3.37,,1.6948,3.605,1.4841,0.2485,3.9501,,,21.6972,,0.2007,7.3448,,3.8489,3.0896,,,0.1985,
1935,3.0620,0.2570,5.3104,5.4277,12.0559,1.0050,19.6723,2.7344,1.7854,4.5697,,46.2385,15.1490,2.4840,106.5420,2.0739,2.71,,,,12.1250,3.48,,1.7491,3.600,1.4768,0.2556,4.0606,,,22.4341,,0.2063,7.3109,,3.9571,3.0772,,,0.2040,
1936,3.0178,0.2530,5.3215,5.9113,11.6712,1.0010,19.5160,3.3613,1.7518,4.5067,,45.6558,16.3560,2.4820,107.6540,3.1535,2.67,,,,13.7140,3.45,,1.7165,3.602,1.5509,0.2507,4.0042,,,22.1582,,0.2034,8.1210,,3.9022,3.3125,,,0.2012,
1937,3.0341,0.2540,5.3277,5.9255,11.5691,1.0000,19.3435,3.3777,1.7629,4.5312,,45.8484,24.7160,2.4870,110.4360,3.2579,2.68,,,,19.0090,3.47,,1.7249,3.604,1.8167,0.2519,4.0258,,,22.3254,,0.2042,16.5218,,3.9236,4.3596,,,0.2023,
1938,3.0678,0.2570,5.2866,5.9192,17.1122,1.0060,19.3364,4.6817,1.7872,4.5820,,46.3671,34.7450,2.4900,111.6320,3.2833,2.73,,,,19.0100,3.52,,1.7569,4.520,1.8179,0.2549,4.0707,,,22.5902,,0.2065,17.8571,,3.9687,4.3723,,,0.2045,
1939,3.2414,0.2830,,5.9341,16.6592,1.0410,19.3323,8.4180,1.7525,4.9149,,50.1303,39.8360,2.4960,122.6540,3.6424,3.00,,,,19.2460,3.85,,1.9329,5.181,1.8749,0.2818,4.3055,,,24.7678,,0.2272,9.4072,,4.1683,4.4396,,,0.2255,
1940,3.3587,0.3280,,5.9241,16.5120,1.1750,19.3543,16.6672,1.7518,5.1791,,53.4474,48.0150,2.4990,148.9200,4.3557,3.32,,,,19.8390,4.27,,2.1286,5.392,1.8822,0.3264,4.4035,,,26.9469,,0.2513,10.7277,,4.2013,4.4100,,,0.2611,
1941,3.3587,,,,16.5085,1.1449,19.3558,18.8207,1.7543,,,49.7488,2.5020,19.7230,,4.0663,3.32,,,,19.7227,4.27,,2.1216,4.869,,0.3100,,,,24.9856,,0.2513,10.9529,,4.1966,4.3086,,,0.2480,
1942,,,,,,,,,,,,,1.1310,,,,3.32,,,,,,,2.1314,4.862,,0.3098,,,,,,0.2513,,,,,,,0.2478,
1943,,,,,,,,,,,,,1.1110,,,,3.32,,,,,,,,4.860,,0.3084,,,,,,0.2513,,,,,,,0.2478,
1944,,,,,,,,,,,,,1.1130,,,,3.32,,,,,,,,4.859,,0.3082,,,,,,0.2513,,,,,,,0.2478,
1945,,,,43.7445,,,,,,,,,50.7330,1.1050,,,3.32,,,,,,,,4.859,2.6362,0.3092,,,,,,0.2506,,,,,,,0.2481,
1946,,,,43.8039,,1.0720,,,,4.7902,,,118.9200,225.5300,,,3.32,,,,225.5300,,,,4.859,2.6446,0.3100,4.9563,,,24.6907,,0.2497,10.9500,,3.8671,4.2803,,,0.2480,
1947,,,,43.8270,,1.0870,,,,4.7930,,,118.9490,269.1790,,,3.32,,,,269.1790,,,,4.860,2.6483,0.3103,4.9603,,,24.8305,,0.2495,10.9500,,3.5940,4.2803,,,0.2482,
1948,4.8100,,,43.8289,18.9906,1.0906,32.9990,,1.7600,4.7945,,,308.6420,574.7130,,,3.31,,,0.2497,574.7130,,,,5.302,2.6548,0.2853,4.9607,16.1000,2.000,24.8861,,0.2495,10.9500,,3.5940,4.2803,,,0.2481,3.750
1949,9.0200,,,45.4360,18.9906,1.0767,35.9989,,1.9600,5.2310,,,331.4550,588.5820,,,3.61,,,0.3596,588.5820,,,2.3270,7.924,2.8962,0.2739,5.4111,14.8100,2.000,25.7732,,0.2728,,,3.9247,4.2893,,,0.2712,3.354
1950,14.0200,0.4480,,50.2311,18.9906,1.0930,47.9986,,1.9600,6.8995,,,349.8950,4.1950,,,4.79,,,0.3596,624.6100,,,3.0499,8.643,3.8092,0.3606,7.1350,14.9500,2.000,28.8151,,0.3592,,,5.1727,4.3222,,,0.3570,3.754
1951,14.4600,0.4480,,50.3550,18.9906,1.0530,55.9984,,2.4000,6.9008,,,350.1400,4.1950,,,4.79,,0.3567,0.3596,625.0000,,,3.0443,8.648,3.8075,0.3608,7.1350,15.2800,2.000,28.7861,,0.3593,,,5.1741,4.3364,,,0.3571,3.341
1952,13.9800,0.4490,,50.3069,18.9906,0.9790,61.9982,,2.5100,6.9005,,,350.1400,4.1950,,,4.78,,0.3576,0.3596,625.0000,,,3.0673,8.630,3.8002,0.3617,7.1350,15.6000,2.000,28.6919,,0.3595,,,5.1743,4.3201,,,0.3580,3.301
1953,13.9800,0.4460,25.9202,49.9775,42.9788,0.9840,70.9979,,2.5100,6.8995,,,350.1400,4.1950,,,4.75,,0.3555,0.9989,625.0000,,,3.0680,8.615,3.7965,0.3591,7.1350,19.8900,2.000,28.6640,,0.3569,,,5.1751,4.2888,,,0.3555,3.204
1954,13.9800,0.4470,25.9202,50.0626,60.9699,0.9730,91.9973,,2.5100,6.9042,,,350.1400,4.1950,,,4.76,,0.3560,1.8000,625.0000,,,3.0636,11.048,3.7907,0.3596,7.1388,19.0000,2.000,28.6533,,0.3574,,,5.1725,4.2878,,,0.3560,3.668
1955,36.1000,0.4500,25.9202,50.2386,70.9649,0.9860,161.9950,,2.5100,6.9050,,,350.1400,4.2080,,,4.79,,0.3583,1.8000,625.0000,,,3.0652,12.491,3.8124,0.3618,7.1388,19.0000,2.000,28.6533,,0.3596,,,5.1725,4.2862,,,0.3583,3.227
1956,37.4500,0.4490,25.9202,49.9251,69.9654,0.9840,335.9900,,2.5100,6.9050,,,350.2630,4.2040,,,4.78,,0.3577,1.8000,625.0000,359.84,,3.0692,12.491,3.8295,0.3613,7.1388,19.0000,2.000,28.6533,,0.3590,,,5.1725,4.2855,,,0.3577,3.241
1957,37.0000,0.4490,25.9477,50.2361,75.9625,0.9590,521.3180,,3.7975,6.9050,,,420.8750,4.2020,,,4.78,,0.3580,1.8000,625.0000,359.84,,3.0744,12.491,3.8211,0.3616,7.1388,19.0000,2.000,28.6533,,0.3593,,,5.1730,4.2863,,,0.3580,3.350
1958,70.0000,0.4470,25.9498,49.8902,128.9360,0.9710,704.6460,,6.4000,6.9050,,,421.2300,4.1930,,,4.75,,0.3559,1.8000,624.6100,359.84,,3.0518,12.491,3.7852,0.3595,7.1387,23.8600,2.000,28.6533,,0.3572,41.9992,,5.1737,4.2867,,,0.3559,3.350
1959,79.9208,0.4470,25.8940,49.9700,150.9250,0.9590,944.3060,,6.4000,6.8927,,,490.6770,4.1800,,,4.75,,0.3560,1.8000,621.1180,359.97,,3.0435,12.491,3.7747,0.3596,7.1288,27.9000,2.000,28.5984,,0.3574,48.5932,,5.1750,4.3212,,,0.3560,3.350
1960,82.8900,0.4470,26.0004,49.8679,186.9080,0.9700,1.0490,,6.6350,6.8941,,,4.9050,4.1710,,,4.77,,0.3562,1.8000,621.1180,359.97,,3.0472,12.491,3.7718,0.3597,7.1337,27.2992,2.015,28.6229,,0.3575,60.1142,,5.1683,4.3193,,,0.3561,3.350
