year,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,Denmark,"Europe, Eurozone",Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Portugal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,Venezuela
1961,82.8558,0.4480,25.9869,49.8703,269.8670,1.0130,1.0501,,6.7000,6.9051,,,4.9060,4.0160,,,4.77,,0.3569,1.8000,621.1180,361.14,,3.0619,12.491,3.6291,0.3604,7.1429,26.8167,2.020,28.6459,,0.7164,60.0853,,5.1672,4.3195,,,0.3569,3.350
1962,116.2280,0.4470,25.8498,49.7686,387.8080,1.0690,1.0576,,6.9012,6.9013,,,4.9010,3.9980,,,4.76,,0.3562,2.9000,620.8480,360.86,,3.0528,12.491,3.6029,0.3597,7.1378,26.8200,3.728,28.5829,,0.7149,60.0456,,5.1554,4.3245,,,0.3561,3.350
1963,138.7170,0.4480,25.8465,49.8703,574.7160,1.0790,1.6218,,9.0000,6.9042,,,4.9010,3.9870,,,4.77,,0.3571,3.0000,621.6200,361.49,,3.0615,12.491,3.6010,0.3607,7.1495,26.8200,3.910,28.6607,,0.7169,60.0096,,5.1889,4.3217,,,0.3571,3.350
1964,140.3920,0.4490,25.8411,49.7537,1252.3800,1.0790,2.3074,,9.0000,6.9156,,,4.9010,3.9750,,,4.78,,0.3582,3.0000,624.4540,361.99,,3.0707,12.491,3.6070,0.3617,7.1572,26.8200,3.910,28.7356,,0.7190,60.0132,,5.1509,4.3193,,,0.3582,4.399
1965,169.5670,0.4490,25.8371,49.6426,1898.0600,1.0780,3.1567,,10.4750,6.9156,,,4.9020,3.9940,,,4.78,,0.3577,3.0000,624.8440,361.51,,3.0666,12.491,3.6005,0.3612,7.1505,26.8200,3.909,28.7117,,0.7180,60.0168,,5.1584,4.3279,,,0.3577,4.450
1966,209.1500,0.8990,25.8491,49.8331,2218.9000,1.0770,3.8511,,13.5000,6.9085,,,4.9140,3.9990,,,6.03,,0.3580,3.0000,624.4540,362.35,,3.0733,12.491,3.6193,0.3616,7.1510,26.8200,3.900,28.7150,,0.7188,60.0565,,5.1658,4.3264,,,0.3580,4.450
1967,333.4250,0.8990,25.8478,49.6894,2.6627,1.0790,5.0683,,14.5064,6.9808,,,4.9210,3.9870,,,7.54,149.6,0.3636,3.0833,624.1420,362.15,,3.0751,12.491,3.6024,0.3696,7.1505,30.2483,3.900,28.7488,,0.7190,61.0389,,5.1618,4.3282,,,0.3636,4.450
1968,350.0000,0.8990,25.8565,49.9351,3.3943,1.0780,6.8765,,16.2907,7.4839,,,4.9530,3.9920,,,7.54,296.3,0.4178,3.5000,623.3640,360.56,,3.0683,12.491,3.6198,0.8979,7.1429,38.7000,3.900,28.6829,,0.7189,70.0673,,5.1682,4.3161,,,0.4177,4.450
1969,350.0000,0.9000,25.8705,50.1454,4.0730,1.0770,8.6176,,17.3201,7.5194,,,5.1810,3.9230,,,7.56,326.0,0.4184,3.5000,627.3530,358.38,,3.0653,12.491,3.6242,0.8992,7.1444,38.7000,3.900,28.5608,,0.7199,70.0967,,5.1701,4.3129,,,0.4184,4.450
1970,3.7917,0.8980,25.8672,49.6549,4.5907,1.0440,11.2775,,18.4431,7.4996,,,5.5290,3.6460,,,7.56,362.8,0.4174,3.5000,627.1560,358.15,,3.0868,12.491,3.6165,0.8970,7.1469,38.7000,5.904,28.5894,,0.7182,70.0280,,5.1862,4.3105,,,0.4174,4.450
1971,4.5217,0.8800,24.9944,48.5484,5.2854,1.0100,12.2086,,19.9319,7.4030,,4.2096,5.5100,3.4760,,,7.50,391.9,0.4091,4.2000,618.2760,347.48,,3.0313,12.491,3.4904,0.8794,7.0398,38.7000,6.432,28.2040,,0.7128,69.5265,5.547,5.1041,4.1110,,,0.4092,4.447
1972,5.0000,0.8390,23.1332,44.0218,5.9311,0.9910,20.8352,,21.8656,6.9522,,4.1565,5.0440,3.1880,,,7.55,415.0,0.3999,4.1798,583.7030,303.08,,2.8082,12.500,3.2100,0.8379,6.5876,38.7000,6.675,27.0102,,0.7726,64.2715,6.227,4.7569,3.8178,,,0.3998,4.400
1973,5.0000,0.7050,19.3615,38.8184,6.1230,1.0000,71.6419,,23.6370,6.0230,,3.8121,4.4370,2.6480,,,8.28,415.0,0.4080,4.1947,581.6660,270.89,,2.4397,12.500,2.7795,0.7351,5.7451,38.7000,6.756,24.3427,,0.6950,58.2140,6.364,4.3535,3.1546,,,0.4080,4.304
1974,5.0000,0.6950,18.6693,38.8908,6.7866,0.9780,592.8260,,26.0641,6.0820,,3.7643,4.8070,2.5820,,,8.03,415.0,0.4273,4.4515,650.5330,291.53,,2.3991,12.500,2.6833,0.6666,5.5191,38.7000,6.788,25.3126,,0.6804,57.6801,6.676,4.4320,2.9684,,,0.4274,4.285
1975,36.5750,0.7650,17.4013,36.6932,8.1230,1.0170,4910.4200,,30.9289,5.7349,,3.6650,4.2820,2.4550,,,8.39,415.0,0.4501,6.3361,652.4010,296.69,,2.3950,12.500,2.5232,0.8254,5.2138,40.3708,7.248,25.4544,,0.7328,57.3921,6.952,4.1423,2.5811,,,0.4500,4.285
1976,139.9830,0.8190,17.9391,38.5788,10.6677,0.9860,13.0542,,34.6939,6.0438,,3.8554,4.7750,2.5170,,,8.97,415.0,0.5541,7.9256,830.2890,296.38,,2.5419,14.459,2.6423,1.0089,5.4564,55.7558,7.440,30.1577,,0.8707,66.8539,8.398,4.3560,2.4992,,,0.5540,4.290
1977,407.6330,0.9020,16.5306,35.8282,14.1370,1.0630,21.5358,,36.7749,6.0031,,4.0140,4.9150,2.3210,,,8.77,415.0,0.5731,10.4455,882.7680,267.80,,2.4618,22.605,2.4539,1.0321,5.3223,84.2348,7.403,38.1185,,0.8696,75.2615,8.358,4.4677,2.3973,,,0.5731,4.293
1978,795.7500,0.8740,14.5016,31.4376,18.0611,1.1400,31.6558,,39.0946,5.5078,,4.1090,4.5010,2.0050,,,8.19,442.0,0.5213,17.4354,848.7520,208.42,,2.3143,22.781,2.1606,0.9649,5.2414,156.3490,7.366,43.8943,,0.8695,76.4935,15.667,4.5169,1.7767,,,0.5214,4.293
1979,1316.9700,0.8950,13.3870,29.3420,26.9327,1.1600,37.2458,,42.5498,5.2622,,3.8886,4.2570,1.8340,,,8.16,623.1,0.4886,25.4064,831.1000,219.02,,2.1721,22.816,2.0072,0.9782,5.0650,224.7190,7.378,48.9530,,0.8423,67.1580,15.570,4.2892,1.6643,,,0.4713,4.293
1980,1837.1600,0.8770,12.9450,29.2370,52.6880,1.1690,39.0000,,47.2803,5.6345,,3.7206,4.2250,1.8180,,,7.89,627.0,0.4860,5.1243,856.2000,226.63,,2.1767,22.968,1.9875,1.0273,4.9381,288.8550,7.511,50.0820,,0.7780,71.7580,16.167,4.2309,1.6772,,,0.4299,4.293
1981,4402.6900,0.8700,15.9480,37.1940,93.0788,1.1990,39.0000,1.7031,54.4906,7.1350,,4.3128,5.4400,2.2630,,5.5678,8.68,631.8,0.6199,11.4306,1138.6000,220.63,,2.3048,24.547,2.4998,1.1514,5.7430,422.3180,7.900,61.7390,2.1053,0.8713,92.3960,18.967,5.0659,1.9674,,21.731,0.4941,4.293
1982,25922.5000,0.9840,17.0600,45.7800,179.4260,1.2340,50.9083,1.8978,64.0847,8.3443,,4.8086,6.5790,2.4280,66.8720,6.0697,9.48,661.4,0.7040,24.2670,1354.0000,249.06,731.93,2.3395,72.990,2.6719,1.3315,6.4567,697.5670,8.540,80.1010,2.1406,1.0835,110.0900,20.756,6.2838,2.0327,,23.014,0.5721,4.293
1983,10.5300,1.1090,17.9680,51.1210,576.7600,1.2330,78.7883,1.9809,78.8543,9.1483,,5.5636,7.6200,2.5540,87.8950,7.2569,10.10,909.3,0.8012,56.2145,1519.3000,237.55,776.04,2.3204,155.010,2.8543,1.4972,7.3012,1628.6300,11.113,111.6100,2.1136,1.1130,143.5000,23.510,7.6717,2.1006,,22.991,0.6596,4.297
1984,67.6491,1.1370,20.0050,57.7490,1847.1200,1.2950,98.4775,2.3308,100.8170,10.3540,,6.0007,8.7360,2.8450,112.7300,7.8188,11.35,1025.9,0.9205,293.2100,1756.1000,237.45,807.91,2.3448,192.310,3.2083,1.7290,8.1596,3466.8500,16.699,147.7000,2.1325,1.4382,160.7800,25.428,8.2706,2.3500,39.633,23.582,0.7479,7.017
1985,0.6018,1.4280,20.6760,59.3360,6197.3400,1.3660,160.8600,2.9434,142.3120,10.5980,,6.1971,8.9800,2.9420,138.4000,7.7911,12.33,1110.6,0.9379,1178.8500,1908.9000,238.47,861.89,2.4806,256.872,3.3184,2.0100,8.5933,10.9749,18.607,172.0700,2.2008,2.2343,169.9800,27.187,8.6031,2.4551,39.889,27.193,0.7710,7.500
1986,0.9430,1.4900,15.2600,44.6640,13.6493,1.3900,192.9300,3.4616,194.2610,8.0955,,5.0722,6.9260,2.1710,139.9300,7.8038,12.60,1282.6,0.7455,1.4878,1491.1600,168.35,884.63,2.5831,611.773,2.4485,1.9063,7.3985,13.9475,20.386,149.8000,2.1783,2.2919,140.0400,27.934,7.1273,1.7979,37.839,26.315,0.6812,8.083
1987,2.1443,1.4260,12.6490,37.3580,39.2092,1.3260,219.4070,3.7314,242.6070,6.8478,,4.4037,6.0120,1.7980,135.4700,7.7986,12.94,1643.8,0.6721,1.5946,1297.0300,144.60,825.94,2.5186,1378.180,2.0264,1.6855,6.7409,16.8358,20.568,141.2000,2.1059,2.0385,123.5400,29.472,6.3469,1.4918,31.753,25.775,0.6098,14.500
1988,8.7526,1.2750,12.3570,36.7850,261.9990,1.2310,245.0120,3.7314,299.1740,6.7412,,4.1933,5.9600,1.7570,142.0000,7.8072,13.90,1685.7,0.6558,1.5989,1302.3900,128.17,734.52,2.6190,2273.100,1.9778,1.5253,6.5243,128.8320,21.095,144.2700,2.0133,2.2770,116.5300,31.820,6.1370,1.4643,28.636,25.312,0.5615,14.500
1989,423.3000,1.2630,13.2360,39.4090,2.8339,1.1840,266.9540,3.7673,382.5680,7.3210,,4.2963,6.3800,1.8810,162.6000,7.8008,16.21,1770.1,0.7052,1.9164,1372.2800,138.07,674.29,2.7079,2461.470,2.1219,1.6724,6.9131,2666.1900,21.737,157.5300,1.9511,2.6214,118.4400,35.947,6.4559,1.6369,26.407,25.725,0.6105,34.681
1990,4875.9000,1.2810,11.3310,33.4240,68.3001,1.1670,304.9030,4.7921,502.2590,6.1899,,3.8300,5.4470,1.6170,158.5900,7.7899,17.49,1842.8,0.6033,2.0162,1198.2700,145.00,710.64,2.7057,2812.600,1.8215,1.6773,6.2541,187886.0000,24.311,142.7000,1.8134,2.5885,101.9600,40.078,5.9231,1.3901,26.918,25.609,0.5605,46.901
1991,9535.5000,1.2840,11.6860,34.1950,406.6070,1.1460,349.2160,5.3337,633.0450,6.4038,,4.0481,5.6470,1.6610,182.6300,7.7712,22.71,1950.3,0.6196,2.2791,1241.2800,134.59,736.73,2.7503,3018.430,1.8720,1.7291,6.4912,0.7725,27.479,144.7700,1.7283,2.7633,104.0100,41.200,6.0521,1.4356,26.759,25.528,0.5659,56.816
1992,0.9906,1.3600,10.9920,32.1480,4512.9900,1.2090,362.5760,5.5206,759.2820,6.0372,,4.4865,5.2940,1.5620,190.8100,7.7402,28.16,2029.9,0.5868,2.4591,1232.1700,126.78,784.66,2.5463,3094.900,1.7587,1.8590,6.2142,1.2458,25.512,135.0700,1.6294,2.8524,102.3800,44.013,5.8258,1.4064,25.160,25.411,0.5663,68.376
1993,0.9990,1.4710,11.6390,34.5810,88440.0000,1.2900,404.1660,5.7795,863.0650,6.4863,,5.7251,5.6670,1.6550,229.6400,7.7357,31.29,2087.1,0.6827,2.8301,1573.4100,111.08,805.75,2.5738,3.124,1.8585,1.8475,7.1009,1.9883,27.120,161.0800,1.6158,3.2729,127.4800,48.211,7.7956,1.4781,26.416,25.333,0.6658,90.826
1994,0.9990,1.3670,11.4090,33.4260,1758.0700,1.3660,420.1770,8.6397,844.8360,6.3561,,5.2340,5.5460,1.6220,242.5000,7.7290,31.39,2160.8,0.6680,3.0111,1611.4900,102.18,806.93,2.6237,3.385,1.8190,1.6847,7.0553,2.1950,26.417,165.9300,1.5275,3.5526,133.8800,49.170,7.7161,1.3667,26.465,25.161,0.6527,148.503
1995,0.9998,1.3500,10.0760,29.4720,0.9177,1.3730,396.7730,8.3700,912.8260,5.5999,,4.3763,4.9860,1.4320,231.6800,7.7357,32.42,2248.6,0.6236,3.0113,1629.4500,93.96,772.69,2.5073,6.447,1.6044,1.5238,6.3355,2.2533,25.715,149.8800,1.4171,3.6284,124.6400,51.047,7.1406,1.1812,26.495,24.921,0.6333,176.842
1996,0.9997,1.2770,10.5890,30.9700,1.0051,1.3640,412.2670,8.3389,1036.6900,5.8003,,4.5948,5.1160,1.5050,240.8200,7.7345,35.51,2342.3,0.6252,3.1917,1542.7600,108.78,805.00,2.5154,7.600,1.6863,1.4542,6.4594,2.4533,26.216,154.2800,1.4100,4.3011,126.6800,55.289,6.7082,1.2361,27.468,25.359,0.6406,417.19
1997,0.9995,1.3450,12.2060,35.8070,1.0779,1.3850,419.2950,8.3193,1140.9600,6.6092,,5.1956,5.8390,1.7350,273.2800,7.7431,36.37,2909.4,0.6595,3.4494,1703.8100,121.06,947.65,2.8173,7.918,1.9525,1.5095,7.0857,2.6642,29.471,175.4400,1.4857,4.6072,146.5300,59.026,7.6446,1.4514,28.775,31.072,0.6105,488.39
1998,0.9995,1.5900,12.3790,36.3100,1.1605,1.4840,460.2900,8.3008,1426.0400,6.7030,,5.3473,5.9000,1.7600,295.7000,7.7467,41.36,10013.6,0.7019,3.8001,1736.8500,130.99,1400.40,3.9254,9.152,1.9837,1.8653,7.5521,2.9300,40.893,180.2500,1.6722,5.5417,149.4100,65.005,7.9522,1.4506,33.547,41.262,0.6035,548.39
1999,0.9995,1.5494,14.6590,42.9740,1.8207,1.4858,508.7800,8.2783,1756.2300,6.9900,,6.3340,6.9880,2.0840,306.3000,7.7594,43.13,7855.2,1.1919,4.1397,2062.7100,113.73,1189.84,3.8000,9.553,2.3476,1.8889,7.8071,3.3833,39.089,213.5700,1.6951,6.1191,177.2500,70.868,8.2740,1.5045,32.322,37.887,0.6184,606.82
2000,0.9995,1.7197,,,1.8301,1.4855,539.5900,8.2784,2087.9000,8.0953,,,,,,7.7924,45.00,8421.8,,4.0773,,107.80,1130.90,3.8000,9.459,,2.1891,8.8131,3.4900,44.192,,1.7250,6.9468,,76.964,9.1735,1.6904,31.260,40.210,0.6598,680.52
2001,0.9995,1.9346,,,2.3527,1.5487,634.9400,8.2770,2299.6300,8.3323,,,,,,7.7997,47.22,10260.9,,4.2057,,121.57,1292.01,3.8000,9.337,,2.3798,8.9964,3.5068,50.993,,1.7930,8.6093,,89.602,10.3425,1.6891,33.824,44.532,0.6946,724.10
2002,3.0633,1.8392,,,2.9213,1.5704,688.9400,8.2771,2504.2400,7.8862,,,,,,7.7996,48.63,9311.2,,4.7378,,125.22,1250.31,3.8000,9.663,,2.1529,7.9839,3.5165,51.604,,1.7908,10.5176,,95.773,9.7233,1.5567,34.536,43.019,0.6656,1161.19
2003,2.9006,1.5328,,,3.0750,1.4008,691.4300,8.2772,2877.6500,6.5774,,,,,,7.7875,46.59,8577.1,,4.5541,,115.94,1192.08,3.8000,10.793,,1.7176,7.0803,3.4785,54.203,,1.7429,7.5550,,96.541,8.0787,1.3450,34.405,41.556,0.6117,1613.43
2004,2.9233,1.3578,,,2.9262,1.3017,609.3700,8.2768,2628.6100,5.9891,,,,,,7.7891,45.26,8938.9,,4.4820,,108.15,1145.24,3.8000,11.290,,1.5053,6.7399,3.4132,56.040,,1.6902,6.4402,,101.268,7.3480,1.2428,33.372,40.271,0.5456,1886.13
2005,2.9037,1.3111,,,2.4352,1.2115,560.0900,8.1936,2320.8300,5.9953,,,,,,7.7775,44.00,9704.7,,4.4877,,110.11,1023.75,3.7869,10.894,,1.4186,6.4412,3.2958,55.086,,1.6639,6.3606,,100.383,7.4710,1.2459,32.131,40.252,0.5493,2107.13
2006,3.0543,1.3271,,,2.1738,1.1340,530.2900,7.9723,2361.1400,5.9422,,,,,,7.7681,45.19,9159.3,,4.4558,,116.31,954.32,3.6661,10.906,,1.5404,6.4095,3.2744,51.314,,1.5882,6.7668,,103.940,7.3718,1.2532,32.506,37.876,0.5425,2144.60
2007,3.0960,1.1918,,,1.9461,1.0734,522.5010,7.6058,2078.2900,5.4413,,,,,,7.8016,41.18,9141.0,,4.1080,,117.76,928.97,3.4354,10.928,,1.3578,5.8557,3.1280,46.148,,1.5065,7.0477,,110.620,6.7550,1.1999,32.852,32.203,0.4995,2144.60
2008,3.1442,1.1714,,,1.8327,1.0660,522.4600,6.9477,1967.7100,5.0885,,,,,,7.7862,43.39,9699.0,,3.5880,,103.39,1098.71,3.3292,11.143,,1.3984,5.6365,2.9244,44.323,,1.4140,8.2480,,108.298,6.5846,1.0816,31.521,32.962,0.5392,2.14
2009,3.7101,1.2615,,,1.9976,1.1412,560.8600,6.8307,2158.3000,5.3574,,,,,,7.7514,48.33,10389.9,,3.9323,,93.68,1274.63,3.5231,13.498,,1.5728,6.2908,3.0115,47.680,,1.4543,8.4117,,114.909,7.6539,1.0860,33.020,34.310,0.6385,2.14
2010,3.8963,1.0870,,,1.7601,1.0298,510.2490,6.7696,,5.6266,,,,,,7.7687,45.65,9090.4,,3.7390,,87.78,1155.74,3.2175,12.623,,1.3858,6.0451,2.8251,45.110,,1.3629,7.3161,,112.990,7.2053,1.0432,31.498,31.700,0.6472,4.24
2011,4.1100,0.9678,,,1.6723,0.9890,483.6680,6.4630,1848.1400,5.3540,,,,,,7.7840,46.58,8770.4,,3.5780,,79.70,1106.94,3.0564,12.427,,1.2630,5.6020,2.7540,43.313,,1.2570,7.2510,,110.469,6.4880,0.8860,29.382,30.462,0.6233,4.29
2012,4.5370,0.9653,,,1.9535,0.9995,486.4710,6.3093,1796.9000,5.7922,,,,,,7.7569,53.37,9386.6,,3.8560,,79.82,1126.16,3.0862,13.154,,1.2338,5.8181,2.6380,42.229,,1.2492,8.2014,,127.539,6.7721,0.9377,29.558,31.055,0.6307,4.29
2013,5.4590,1.0327,,,2.1570,1.0300,495.2880,6.1478,1868.7900,5.6170,,,,,,7.7565,58.51,10461.2,,3.6110,,97.60,1094.67,3.1488,12.758,,1.2189,5.8772,2.7020,42.446,,1.2511,9.6436,,129.046,6.5124,0.9269,29.680,30.696,0.6393,6.07
2014,8.0750,1.1069,,,2.3512,1.1043,570.2750,6.1620,2001.7800,5.6151,,,,,,7.7545,61.00,11865.2,,3.5780,,105.74,1052.29,3.2729,13.302,,1.2029,6.2969,2.8400,44.395,,1.2665,10.8420,,130.536,6.8576,0.9147,30.299,32.461,0.6066,6.28
2015,9.2300,1.3290,,,3.3336,1.2791,654.1200,6.2827,2741.8800,6.7263,,,,,,7.7524,64.11,13389.4,,3.8900,,121.04,1131.16,3.9100,15.873,,1.4284,8.0681,3.1800,45.500,,1.3746,12.7645,,135.869,8.4350,0.9628,31.744,34.241,0.6542,6.28
2016,14.7582,1.3452,,,3.4913,1.3254,676.9580,6.6445,3054.1200,6.7317,,,,,,7.7623,67.20,13308.3,,3.8406,,108.79,1160.43,3.2729,18.664,,1.4365,8.4000,3.3266,47.492,,1.3815,14.7096,,145.582,8.5620,0.9854,32.258,35.296,0.7406,9.45
2017,16.5627,1.3048,,,3.1914,1.2977,648.8340,6.7588,2.0000,6.6029,,,,,,7.7933,65.12,13380.9,,3.5996,,112.17,1130.42,4.3004,18.927,,1.4074,8.2717,3.2230,50.404,,1.3809,13.3338,,152.447,8.5489,0.9847,30.406,33.940,0.7770,10.45
2018,28.0950,1.3384,,,3.6538,1.2958,641.2770,6.6160,2955.7000,6.3146,,,,,,7.8385,68.40,14236.9,,3.5906,,110.42,1100.56,4.0351,19.244,,1.4453,8.1325,3.2900,52.661,,1.3488,13.2409,,162.465,8.6925,0.9779,30.129,32.310,0.7496,4389740.00
2019,48.1500,1.4400,,,3.9400,1.3300,702.9000,6.9100,3280.8300,6.6700,,,,,,7.8400,70.42,14147.7,,3.5600,,109.01,1165.36,4.1400,19.260,,1.5269,8.8000,3.3400,51.800,,1.3600,14.4500,,178.740,9.4600,0.9900,30.930,31.050,0.7800,13287.10
2020,70.5400,1.4500,,,5.1600,1.3400,792.7300,6.9000,3694.8500,6.5400,,,,,,7.7600,74.10,14582.2,,3.4400,,106.77,1180.28,4.2000,21.490,,1.5400,9.4200,3.4900,49.620,,1.3800,16.4600,,185.590,9.2100,0.9400,29.580,31.290,0.7800,309968.00
2021,95.0821,1.3312,,,5.3944,1.2539,758.9550,6.4490,3743.5900,6.2871,,,,,,7.7732,73.92,14308.1,,3.2302,,109.75,1143.95,4.1433,20.272,,1.4138,8.5900,3.8800,49.255,,1.3435,14.7787,,198.764,8.5766,0.9138,27.932,31.977,0.7300,3220480.00
2022,130.6100,1.4417,,,5.1640,1.3016,873.3140,6.7372,4256.1900,7.1448,,,,,,7.8314,78.60,14849.9,,3.3598,,131.50,1292.03,4.4011,20.127,,1.5772,9.6142,3.8340,54.478,,1.3787,16.3559,,320.837,10.1143,0.9549,29.796,35.061,0.8113,6.64
2023,296.2580,1.5052,,,4.9944,1.3499,840.0670,7.0840,4325.9600,6.8892,,,,,,7.8296,82.60,15236.9,,3.6858,,140.49,1305.84,4.5606,17.759,,1.6289,10.5633,3.7416,55.630,,1.3428,18.4502,,327.102,10.6102,0.8988,31.152,34.802,0.8045,28.62
2024,915.5390,1.5156,,,5.3895,1.3700,944.4570,7.2003,4076.4900,6.8953,,,,,,7.8030,83.68,15852.1,,3.7004,,151.44,1363.53,4.5747,18.273,,1.6536,10.7497,3.7538,57.291,,1.3365,18.3378,,301.703,10.5683,0.8806,32.106,35.285,0.7824,38.33
2025,1243.8800,1.5517,,,5.5896,1.3976,950.7140,7.1898,4052.2600,6.6202,,,,,,7.7956,87.16,16474.1,,3.4524,,149.49,1421.78,4.2809,19.220,,1.7193,10.3949,3.7570,58.049,,1.3065,17.8809,,300.733,9.8245,0.8312,31.166,32.862,0.7590,131.12
